CID,CRPName
N00036629,   "Kent, Joe"
N00026427,   "Khanna, Ro"
N00033395,   "Kildee, Dan"
N00034453,   "Kilmer, Derek"
N00035205,   "Kimber, James"
N00036341,   "Kimmick, Randy"
N00004403,   "Kind, Ron"
N00034580,   "King, Angus"
N00025630,   "King, Karl"
N00001193,   "King, Pete"
N00036509,   "King, R Adam"
N00025237,   "King, Steven A"
N00002656,   "Kingston, Jack"
N00030667,   "Kinzinger, Adam"
N00012539,   "Kirk, Mark"
N00029260,   "Kirkpatrick, Ann"
N00036357,   "Klepinger, Robert"
N00004436,   "Kline, John"
N00027500,   "Klobuchar, Amy"
N00035820,   "Knight, Steve"
N00036002,   "Koch, Max"
N00025996,   "Kocher, Victor"
N00035454,   "Kohn, Erin Bilbray"
N00036677,   "Kohring, Vic"
N00036680,   "Kokoski, Michael"
N00036711,   "Kolber, Vincent A"
N00035715,   "Koller, David"
N00035995,   "Kolls, Mike"
N00032568,   "Koniz, Gary"
N00033548,   "Kopsick, Joe"
N00035922,   "Kovach, Janice"
N00036624,   "Krepp, Tim"
N00036266,   "Krom, John"
N00002798,   "Krulick, Al"
N00034319,   "Kuhnle, Justin"
N00035884,   "Kultala, Kelly"
N00033822,   "Kundrata, Fred"
N00036408,   "Kurtz, Tony"
N00030875,   "Kuster, Ann Mclane"
N00031377,   "Labrador, Raul"
N00030308,   "Ladner, Lenny"
N00036418,   "Lafrance, Nathan"
N00005310,   "Laird, Steven C"
N00001191,   "Lally, Grant"
N00033987,   "LaMalfa, Doug"
N00035942,   "Lambert, Dennis G"
N00028133,   "Lamborn, Douglas L"
N00000898,   "Lance, Leonard"
N00035488,   "Land, Terri Lynn"
N00005395,   "Landrieu, Mary L"
N00036823,   "Langan, Jeffrey"
N00035977,   "Lange, Ryan"
N00009724,   "Langevin, Jim"
N00031129,   "Lankford, James"
N00035993,   "Lapham, Rob"
N00035626,   "Lara, Rocky"
N00009759,   "Larsen, Rick"
N00000575,   "Larson, John B"
N00004227,   "Latham, Tom"
N00012233,   "Latta, Robert E"
N00035956,   "Lavallee, Dan"
N00035093,   "Lavergne, Frederick"
